Label,Text
sadness,follower go from would follow back but can not do anything till get interwebnet ! want more follower . I m interesting !
hate,"work man bad at his job whole team want leave , all believe we would make more money if he be not here"
worry,just get rear ended
worry,@ arcticmonkeysuk think be early
neutral,@ danielfelice look like can only quick post from dashboard all
neutral,@ ashdaprincess chill its da rihanna bob . if be would no problem ! ! ! lol . at school all summer
worry,why do not rob tweet anymore ?
relief,glad 's friday ... but bum be officially work saturday .
sadness,another qi about start .... will be miss next
sadness,bout get ready work ugh hate workin friday
sadness,jenn jenn jenn oh why oh why will not pass ur itune knowledge onto ?
neutral,@ karliehustle can almost imagine what call taker must ' ve feel like take call ... especially if they young one at home .
enthusiasm,@ maryegilmore ready ! its rain miami though go cavs right ?
neutral,@ nick_carter can not see say & quot ; this video private . & quot ;
sadness,"at spring awakening ... can not wait start . last time ' m here ever ! boo , sad time"
worry,bore waiting class start . sigh midterm next week & gt ; _ & lt ;
worry,jen ! we have not talk like day !
neutral,"@ sharkshocky hi , california cool ! here budapest / hungary 's too cold cloudy today but usually be hot summer )"
worry,have feel like when want cry but do not get empty feel your stomach your throat start hurt .
hate,geometry damn boring . waste time .. more minute leave
sadness,@ citygirllife ' m ready weekend . do see all flash flood warning around here ?
sadness,friday not treat well far .
sadness,accounting class then detention after
worry,daddy hospital do not like !
relief,@ gabbychiquito aww ok well just let know what she say hah & lt ;
neutral,this thing be more fun itouch
sadness,sort out twitter issue .... very frustrated can not talk someone they respond slowly issue capacity challenge
worry,@ tylercrex power go out as well .. except ' m nor cal
neutral,@ huneychild .... back frizz head again
worry,"@ sfwa article language group spaceport look really cool , but can not open site from link ."
sadness,oh god ... favorite havaiana just break after three year or service they will be miss . they be mold perfectly foot
neutral,gaahhhh ! want # comet09 stream back ...
sadness,fall sidewalk harvard square . stupid cobblestone ! now hand hurt
worry,lucy have an upset tummy sore leg http : //apps.facebook.com / dogbook / profile / view/
sadness,"as simon / idol might say , 21life sentence not good enough chester stile . how can one rape year old child ? ! how f ? why ?"
neutral,internet stop work right middle quantum leap . grr
worry,mummy nathan not today ! todd !
neutral,@ rinaswag think she will probably baby before get there unfortunately
worry,miss & quot ; mr . & quot ;
worry,@ chirocindy do not tease ! ' m desperate need an adjustment .
neutral,"@ brieasaurus haha yeah , oh well I m just go go be emo now"
happiness,be too perfect outside be at work
love,@ heatxcl wan na get an ff tweet too
sadness,@ dawl83 how get day off still be not hit .. where love ?
worry,miss good old day !
sadness,just dust & amp ; vacuum apartment . think need another new vacuum ... entire apartment smoky . just buy this one from kmart
boredom,bore out mind
sadness,man work busy today 2people call sick old pervert keep roll sadness abound ...
neutral,@ ladyvee do ! ! jet repair shop ... lol
sadness,@ kattekrab no tango icon this revision .
worry,fall off wagon have maccy ' ! !
relief,@ chaosofthemind aww get when your mom come back 8d
sadness,last day at ko olina . off north shoreee ( :
neutral,@ westerfield pick up taco over lunch ... get guitar .
sadness,@ lauriedriscoll do finish twilight ? do ! wish be not over
relief,"@ kazoocarriefan know ! can not go either ... be sad she need come back mi asap , haha"
sadness,follow friday : follow more people then follower follow ? woot # followfriday
relief,@ vexdigital still love fact can not scratch they ! ! ! winner ! ! !
neutral,oooh hangover
neutral,bury under more web change . going make lunch now ... will not chance later . too much do .
worry,dang leave rolando 's dinner leftover at home ! know should put they shop fridge last night before we leave downtown !
worry,@ promotingyou no ff tweet ?
worry,alone watch lot dvd laptop ! ! !
sadness,long day at office again . tiring week
worry,@ lbaje get talent too nvr hear sing or dance they do call mini breezy
fun,"@ megpriley be sorry never get back about go vegas this weekend , when ask forever ago . fun good luck ! ! !"
worry,@ bhufford : ' ve get fairly flat route available ... problem no long fully functional bike ride
sadness,"damn , pay like $ first slightly stoopid show now they charge $ pop make sad ..."
sadness,@ mrkris really ? dang .. miss * sigh *
neutral,at work as always
relief,jus gt bak nw msn stil not get tan wel
surprise,@ fluffy617 steak burrito bowl right ! wish be not too lazy go downtown
worry,"still no reply from @ lorenb about simfinger problem no irape parody video until get response , sorry guy"
neutral,"get three grade far : math11 - & gt ; acct1b - & gt ; , bio19 - & gt ; a. good time be have . sad about math grade though ."
sadness,need somewhere go ... its still lush out want be back out
worry,"thus far , metaverse have use second life virtual world , rather than gamier terra nova usage . ' m tn camp # metaverseu"
boredom,@ vmlemon do not like # kde since ver . . its like vista # fail
worry,"@ lost_in_a_story glad ' m not only one . he be our baby , ' m terrified he will think we be never come back ."
empty,@ qcmartinez suck nobody want stay lounge ? or do something free- ?
happiness,omg ! ! hollyoak well dramatic ! ! ! ! ! ! ! ! ! ! ! !
sadness,go miss springwatch tonight go make do own garden !
neutral,@ dmann11 all those link aicn be break . do they get slap ?
hate,"most hate job . clip coupon & amp ; go thru house , top bottom & amp ; make grocery list . take forever & amp ; now major shopping trip"
neutral,"mayne , its get hot out here georgia .."
sadness,@ eraticschematic ' m pretty bored too
worry,tummy hurt
sadness,have just receive phone call new patient ... guess mean work tomorrow !
enthusiasm,try win @ neverwear contest print day saucer came sign by @ neilhimself ... brain tap out idea
sadness,try do an audioboo recording but ' distort due high volume # ob
empty,@ tommcfly only respond ddlovato not your fan
worry,think more day only thing get through work . ahhh do not want go
neutral,would really like not be at work instead take nap .
neutral,@ misschellebean work til : ...
neutral,@ annran5 that s too bad
worry,@ davechinnici still not % I m sick be sick !
relief,@ mrquochung chang thay anh online gi can
worry,already know ' m go to miss josh next week .. mom need more surgery .. work suck .. not good day . oh tum tum hurt
relief,@ chicodebarge guess be respond about dc . if be case ...
sadness,@ wyatthaplo can haz beer too ? oh wait ... ' m work ...
neutral,miss cauzinhoooo already
hate,hate this weather wan na bake
worry,seriously need live somewhere fabulously queer . miss be around gay people
sadness,@ shaaqt @ primaveron mast ladki patata hai chal jiske sath bhi jaye khush rehna ... will miss love ... # twpp
neutral,tummy hurt
sadness,update an old ipod ... sad ... miss orange nano
worry,go doctor . hav virus .
worry,just get off phone black swamp bird observatory no report connecticut warbler from metzger or magee today ...
sadness,@ lululemon thank . sadly streamline top ii sell out . streamline trunk ii available size but only get halfway .
neutral,@ dleroux still light still up think he can do mine too ?
neutral,@ freckleface3 be try but can not place .... sorry ! ! !
happiness,@ youulovemee she good ! gor - juz yea kno ask she yesterday when we be at tha hospital if she talk she say no
sadness,lose dc hat ..
worry,just get an i m from another co - worker who just get lay off . lot people become unemployed
neutral,"lazy day , stay off foot as much as possible ."
worry,@ truevisiondubbz omg ! be not funny .. look at his face pic .. omg ! make sad ! bad job mike ! ! wtf ? ? .. poor
neutral,have be tell she s not allow sun tomorow ! either or wear sun cream !
worry,dad try force learn drive . do not like do thing ' m not good at public
sadness,"ever tell absolutly hate writing email , status pdate be fine but email much ... finality ... they"
worry,' m way hungry even think . can not go work an empty stomach like this
worry,"@ beforeyoufall wish could offer hug right now , bad"
worry,@ djmagic aww ' m sorry ! ! be rush around lunch break do not even think ! !
relief,"@ bdeugenio yeah , when start reach your early - mid-20s"
neutral,' m sit around want do something any idea ?
worry,lose count sorry let down ...
surprise,"@ everraven wow , really ? do not know be serious . well suck . texas must be chock full asbestos ."
neutral,work around house boo
neutral,say space time all we need http : //plurk.com / p / x2dvj
worry,... what ever happen w/ create music collaboration just fun without & quot ; what be get out & quot ; question mind ? please !
happiness,dad 's posting get postpone one hour before he be mean leave . either go afganistan or nowhere . ' m sorta happy but he be gutte
surprise,@ brycecurtis really ? ! ur getting rid ! be sad
fun,@ jaicenia lmao get alot haha
sadness,@ saniyyah & quot ; house & quot ; ... like club ! wnt there whn be la ! ! know ' m not go ! 's tuesday .. can not
worry,@ npollard unless absolutely gorgeous have rather man stayed cover up ! see sight today put off your food ....... # ukpub
sadness,"' m piss , someone take wallet"
worry,@ cruirco still do not know what we would do though
neutral,@ elisaxx http : //twitpic.com/66y00 niceee hey never get stickersss
sadness,@ melii 's true . still suck though 'cause be all & quot ; lolol be original -- ohshit & quot ; . but yeah . thank !
surprise,"hey do not feel good , cuz get car accedent yesterday ."
empty,wish could go e3 . oh well ....
sadness,really miss sebastian
worry,fall off wagon have maccy 's ! ! fall off wagon have maccy ' ! !
hate,"@ _ ophelia oh , hamletgasm ! hate have work hour today ! how utterly crap , miss everything ! [ manage forum min break"
worry,another lake park kid go tulane . ' m not unique anymore
worry,throat infection come strong think can taste blood : s
worry,work allllllllll weekend .. how thrill .. say bye goshy sunday cause she leave poland month
neutral,@ redassyellabone 's time be all can be like reserve .... lose one .
hate,left & quot ; up & quot ; due out - of - focus projection . hopefully complaint theater management will get fix everyone else still there .
relief,there laptop dead lucky get fone lol
neutral,@ mileycyrus do not think can vote anymore ! try
worry,why oh why do always forget take medication ' m * suppose * take minute before breakfast ? just take now at :
neutral,"@ aaronwarner know , but ' m roger ' m pretty sure they do not same agreement twitter ."
worry,why hell youtube not work ? ? ? no no no no no no no nno no
surprise,"@ jenna218 ' m there ! , no new york !"
sadness,@ sianhughe _ oh god just watch ! ! do claire escape ? again ! ! ! be really quite sad
neutral,"' m go through withdrawl , miss someone ! ! ! !"
relief,andrew 's flight back co should be land soon
worry,"just find out will not be tweet from , phone scotland , different network be go upload photo twitpic , sorry"
sadness,"@ xomorganjane aw , sad be look forward see !"
worry,"* uh * totally forget gentoo reinstallation do not know what should backup . make.conf , home /boot . nothing else .. ?"
enthusiasm,back from take jarid airport but look forward meet new nephew day .
worry,eh they shut freeway down ! omw job interview guess ' m go to be late
relief,@ axm9237 will wait youtube link
worry,@ ajcoo82 oh no . hope feel well soon . hug . have flu early this month .
worry,why be all cool class be offer this summer ? boo .
neutral,@ socialvibe facebook but use myspace twitter most . hardly check facebook ..
love,totally forget she have soccer today . ugh today be actually good too ...
worry,gah ! just can not get hang twitter must be more stupid than thought ! : /
hate,do not wan na do this anymore ! but couch jus sittin middle floor . do really finish ?
sadness,more minute never this class again . its kinda sad cause this class fun
worry,@ 1045chumfm give up fav ! try try every time ... nothing ever happen ... ' m not usually quitter ... this case might be !
neutral,twitter will not work mob ....
surprise,"want see terminator , but everyone be already see"
sadness,listen @ joeymcintyrye 's without your love ... he s torture song ... make sad
worry,ashley= get sick ... ugh ' m lose voice ! nooo
worry,cell dying.hafta plug up every night now .
sadness,"@ tahitianmom truely sad news hear we be all create equal , sad know our neighbor be such prejudice people"
worry,after try arm be successful but now look like junkie
sadness,@ crypticirnangel that s bummer not get one yet : / be wait over year grrrrrrrrrrrrrrr
worry,decide not go ... want see sweetie but can not .
hate,almost die . laptop screen be set % brightness after reinstall window vista . get headache now # insanedefault
happiness,I m full . subway be bomb ! wait 2nd shift start
relief,# quitsmokingdiary week tomorrow since give up yaaaaaayy ! ! ! ! do not want talk about
sadness,@ mandyyjirouxx but today mtv do not allow we vote
sadness,wish do not work today .
surprise,well dinner be disastrous uncle lash out at no reason he just tell shut up ? ? confuse since be not even talk
neutral,look job
sadness,its rain ever day miami since ' ve be here .....
neutral,@ marisianempire : whatcha read ?
hate,"@ _ missjp lmao ! ugh know , need sleep qdoba off before do all workin out . no , ur pic do not show"
worry,@ lorib709 sorry be not feel well !
happiness,just get home from long day at asda . joy
worry,"its rain staunton again , we need rain , but just mean I ve get nothing sit outside people see ,"
neutral,bout tuh head out an find sum wher tuh go an chill
sadness,wish be hang out kobe right now
relief,"math be not fun at all . oh well , get cook as soon as get home ."
sadness,"guess ' m go to try nap thing again 2day , but since kid not cooperate yet this week ' m sure 2day will not be different"
happiness,poor baby be get his first booboo he cause himself lol http : //twitpic.com/673vt
surprise,pull from interesting meeting an urgent support request
sadness,neeeeeeeed music suggestion but no one will give they
fun,knight online come back
happiness,"@ sallytraffic ermm , ! !"
sadness,just lose respect someone .
worry,"@ autonomy14 ah , sorry hear your trip be cancel"
sadness,sim would not work old macbook hope get sim by tomorrow .
sadness,@ nikkilynnsd aw wish could . get ready atlanta come into work since be behind work
sadness,"mit bookstore have good book selection , but be one bookstore no coupon or discount"
neutral,can not follow any1 followfriday lol guy follow @ steveraze @ djpooh @ losdigital @ djsmartiez @ djeightmile @ maestro @ rollingout @ djlgee
sadness,about start get ready work . take lexi out park early ! wish could lay around all day .
worry,I m download manually oooiifull.mp4 movie by @ leebrimelow as seem only way see fully
happiness,@ werewolfseth yes ! !
neutral,prayers family dog mozart be put down this afternoon . pic he at http : //tinyurl.com / mozartdog
neutral,@ euangriffin why ?
sadness,@ lyrical do not care about struggle ..
worry,still can not sleep .. missin ' dobby ...
surprise,hd full again ... http : //plurk.com / p / x2eb3
hate,"some dumb reason dresser sticky top . another reason , family history book get attach now back jack"
neutral,' m still think ... idk
neutral,@ michy_mar_mey want cake chocolate ! ? ?
neutral,@ proactiff who say all this ... be ignore * frown *
neutral,@ cailingg too what be do ?
sadness,miss boo another note I m soready this game come tonight ... fox grill anyone ? ? ? ! !
worry,"ilook struggle make outlook more social http : //bit.ly / jjudf look interesting , no twitter support ?"
sadness,@ sunilsebastian still lot time stupid contract ... month before can change provider
neutral,@ kassielovee belly ache ... lulz .... ' m sorry though .... ginger ale !
empty,@ gcrecord yes
worry,would like go back bed . horrible headache pound behind eye all over skull
happiness,"@ heloloser thanks clair , not watch yet ."
worry,should left car walk home ! might need someone rescue petrol ! light flash
worry,@ 3cb goodnight hun . yaani nakam wakati unaenda @ soleaddict1 hai
neutral,@ carbyville ya but they speak first reply they ..
worry,but mum just burn some bacon ... smoke alarm 's bitch
happiness,know should not be say this but fuck .. ' m horny as hell
happiness,"@ girlusocrazy lol girl can not stop ! ! ! be student , can not afford $ pop eyeshadow . but be hook"
sadness,at least more day
neutral,just fill out form stop contribute retirement account have set up employer pay off credit card
worry,@ savagemike : : know feel its little depressing : s
worry,@ berrylie be sorry .
fun,@ zinzr0ux whatz suppose mean dog now waaaaaaaaaah lol jk
worry,feel like cry ! one diamond earring fall out ear bc be loose can not find . ' ve have they forever
sadness,tgif ! ! ! but also sad this last day get work favorite tv reporter
neutral,@ sgbeat : kwanghock @ valkyrieslife @ kahhongtay @ jeremy89632 hao da za ji pa ? ? miss food there much ? ?
sadness,@ yasminegalenorn depress both those be already out but yours be not . want your book ! !
worry,feel . sick . too . much . cheese . . toast .
happiness,no 10th months= ]
sadness,"@ simplysinister suck seriously hope feel well soon , need come over next week ! ! !"
happiness,"be be nice all day , now look like be go rain ... just when be getting excited about take photo when get home"
love,@ ayoungone yep one work . love potbelly but can not get az wait chi - town trip @ potbellysdchwks
worry,@ iamdiddy . confuse about guy ... he be great but why be push he away ?
worry,"@ fountain1987 ooh ! wish be there.just watch hollyoak e4.so sad , please do not leave chris !"
fun,@ billbathgate hotttie poooh ! ! ! ! ooo bet sounda magical ( hh ) I m come home hour
worry,oh no ! fan break noooooooooooo ! great now swelter heat . like heat - ish but hot ! laptop warm as well .
love,@ dopealicious ' m sorry
sadness,@ kyle_newman just call be sell out . bummer . next time !
worry,this sad
worry,"just get do discing , find two disc last two day . solid . wish @ pacheros would treat koozie well not throw around"
neutral,eat roommate 's cereal . sorry bro
sadness,I m wish have weekend off can go sol .
worry,"just try an energy drink report back guy , I m sweat bad cramp . want lie down"
happiness,"@ danosphere 's beautiful mn day , but ' m stuck inside play zelda . ' ve get to play at least hrs . today ."
love,@ michemo bristol 's ish ! love their brunch sunday . ruth chris good too but get sick there once .
love,@ oneofthoseface know I m inlove @ katyperry actually ..
sadness,@ thriftymommy well daughter now ... that s why say ' miss those day ' ... they go by sooo fast
sadness,spend most weekend work .. do not even sound fun
worry,"test out hulu desktop . remind shitti version boxy . feel clunky , search too hidden , menu system questionable ."
sadness,@ biffbarker ohhhhh how miss brunch
worry,oh god . literally drive rain be hard could not see front . ' m shake
sadness,"oop , forgot we be have barbecue at work today ! do not need pack lunch after all"
love,at house home alone play guitar some guitar hero loud .
relief,@ stevico1 its nice ahd work today
neutral,@ solangeknowle girl know beauty have price
hate,"@ courtjsallis lolll , cba get sun stuff forget back leg would not gwt tan lol . hurt sooo bad right now"
neutral,"@ ginamc she be be watch cartoon clone war , she be totally into force . shannon will not let she see live one yet tho"
worry,@ yayamartinez dude be sorry ! ! ! ! ! never get number fail just remember
happiness,"@ agcruc girl , if be part tour , would seriously be first line ticket . just sayin ' ."
sadness,be jelz . want house . & gt ;
neutral,@ em_fizz he be really not into new people dunno em but he say he would try
worry,watch uninvited room . can not wait go home . but go deid first .
enthusiasm,off nc tonight until june 7th ! ' m go miss nyc get ready 21st birthday luau bbq july 11th ! ! ! ! ! ! ! !
surprise,@ totalblonde70 ohh would def give but tht be kenyatta 's cam not mine sry but want tht pic
sadness,wtf at little year old wan na be thug ? ugh why can not everyone just be friend not clique like back old day
relief,"@ nkotblorib thank girl ! ! ! ! ! like say , ' m willing take loss they ... just do not want see they waste"
sadness,this horrible day .
worry,tiggerk still having upset tummy issue http : //apps.facebook.com / dogbook / profile / view/
sadness,@ beateveronica ' m jealous would love deer steak . one downside have an almost vegetarian carnivore live together
neutral,"@ janelleyo wish we could deliver alcohol , but state law prohibit we ."
worry,@ spaley sadly true
sadness,check out zensify iphone . work fine but no landscape type
surprise,@ bryceavary no video blog anymore ?
love,http : //twitpic.com/670pn she cute really really want meet her wish one day
worry,"@ bonescrazy24 ' m tired , hungry bored revision ! sorry hear about dinner"
neutral,"ak , flop come 2k6 bet get raise call , turn , we check , river rag , then check he bet , raise he call ,"
hate,okay ... can not twitter anymore .. study .. ugh hate school .. jk . but thoroughly dislike ...
sadness,stupid net we think mum break . again .
relief,time mow lawn .
neutral,rainy day rainy .
surprise,"@ exoticaleila lmao yea , see he atlpic , yea try act like ' m still atl lol"
sadness,no shoe .
sadness,up at hub day parade again ( course ) they just cancel castle show mid - show
sadness,instal new modem which mean run time fast than old one its slow what hell ? gah slow internet kill
worry,will never eat broadway pizza again .. feelin ill .
worry,"@ 420thoughts can understand , pain be part life long time now hope feel bit well soon ."
sadness,no pool today . stupid weather .
sadness,roscoe smooth sailin ' why do no one tell about this song ? ? ? ? ? ? rap friend fail
fun,just love when all little brother friend come over
surprise,@ justababy make same face when get home your mom watch soap .
worry,where be bus ? want go home !
worry,do not think neti pot work maybe ' m do wrong ?
surprise,can not believe there have be nice weather all day be stick door all day
empty,@ johndpoole not here stamford .
happiness,special edition jfpl come today ! all time do rip demo cd itune upload ipod before go work
sadness,"@ mamahinai be list , pay get , but if your under , can not go out , but be gettin hot , we go outside"
worry,new landlord just call .. can not move until tomorrow morning way rain parade ..
worry,really stress out
love,love new phone but hate do not get netbook today ...
sadness,"wow , bed comfy & amp ; nap have be much too short . get up work do not want ."
happiness,@ joelogic wish could be there too ! enjoy your weekend ! xxx
hate,"@ bretwolfe its travesty , no ? , people who be do this say they would think about involve joss whedon ! ! ! !"
relief,"@ harleyrodrigue hey harley , hope stay around not let hater get good ! people suck !"
worry,pack no fun at all good thing new united keep go ... but still no fun
happiness,"play munchkin today , talk cake get ready yard sale tomorrow . not look forward"
sadness,not recieve any mail over month life bore
neutral,@ deathwishinc course its not come boise
hate,ughh phone hp !
sadness,where be happiness ?
sadness,"be little slow try this one , but ben & amp ; jerry 's mission marzipan bit letdown ."
worry,just get rejection email from jeffco school . finger cross boulder valley ...
fun,"@ combustiblesong lol do not get enough cause dad will not let , he keep wake up"
neutral,@ divarina21 do she tell why she have not ? miss boge .
neutral,"@ devonstebnicki wow , sound way more stressful than job think about continue edu make move ?"
love,@ pixy88 thank ! do not care look his face .
worry,ow ... shoulder muscle ( can not remember name : p ) hurt ... what do do ? do not even know
neutral,@ dotperiod suck
worry,why be tired ? ? ? ? ? ? whyyyyy make stop . merm not go be fun tonight .
worry,"@ jen_juneau do , until parent get all f would up start comfort - eating"
worry,@ stevehill dad be be have fever since last nite need bottle blood trasfusion .. load today .. go tomorrow .
worry,do not know what do this evening & amp ; work tomorrow suck .
sadness,not feel well . food poisoning .......
worry,"@ justinchon great . be say * ' m * old , be all ? ?"
worry,@ livefashion lol ... not gross at all they be gross ?
neutral,little miss ugly
surprise,head south i- . jack mess around sr
worry,work buddy leave early today now I m all lonely . keep lookin at time its barely only min later than last time
relief,ally not come over
neutral,@ jzwack take forum access away fail .
worry,"this laptop go die , its not work !"
fun,@ bsbtwitt funny but right ! like bsb but I m not as fan than love much well tupac & amp ; tlc .. bad they be not singe anymore
sadness,powerdvd do not want play push daisy dvd . only want screenie make icon ! copy protection go bonker ?
surprise,"its rain staunton again , we need rain , but just mean I ve get nothing sit outside people see ,"
neutral,@ joeysmissmac blah ! get shoot at hospital take gravol move very slow .
surprise,"guitar be not herew yet ? , feel like lose limb ! ."
sadness,at home sick
worry,"guitar be not here yet ? , feel like lose limb ! ."
worry,@ cracklin_rosie be name until yesterday
hate,friday night still work ... oh wait .. be saturday morning already
neutral,@ stefathena maybe will go one day thank ' m all swine out
neutral,plan how move back home ... regression process motion
love,@ ijsthee or your mobile do not like
worry,omg ' m sad . jus take gossip girl do
worry,man wake up suck when go work like min later
worry,hair look sooo short
worry,"oh , today friend go usa ! iï¿½m going miss she much ! great time darling"
neutral,@ so_precious06 sooo mad
sadness,miss
empty,anyone have twitter issue ? 's eat tweet .
enthusiasm,"can not wait start weekend . ' m sick work , self - medicate , ' m fresh out herb"
sadness,now @ mumbly_joe try guilt into come alumnus weekend . do not think can make either this year . suck lot .
neutral,full from great lunch now stick traffic
sadness,sick again
sadness,' m sleep deprive but 's hot sleep .
enthusiasm,"@ mrexclusive1 ' m jealous ... need escape , lol ."
sadness,"http : //bit.ly/253ce : : get bit face by doberman when be four year old , just want kiss neighbor have about ..."
worry,@ amybarton hope your son okay !
worry,@ wenatcheewash be lose . please help find good home .
worry,@ myuze_me why blah ?
empty,waitin man get home he can take out ! ! ! ! be waitin hour
neutral,@ apollo18 dang ! dog be only central northern ca
sadness,way dad 's sista .. r.i.p . deb ..
worry,"hate take antibiotic , but think need get some . boooooo ."
neutral,@ oms_aop have move away from house must find its way your
happiness,@ raenewman call ? do not get . nest time sure . maybe will come la soon . hella wana go disneyland .
worry,"laptop break , who want help girl out take good buy this weekend . please ill feed u ."
worry,"@ nathanfillion hey , what about we follower atl ! ! ! !"
worry,@ crystal_haze aww i^m sorry ray wise have appear show yet watch @ aot everyday except friday its good aot .
sadness,@ exprincess http : //twitpic.com/ * sniff * feel leave out ! * grin *
sadness,at home sick .. friday ... study all I m do at this point .. weekend ruin
worry,"whatever happen those chocolate cigarette replete rice paper , ' filter ' fag packet ... miss them ."
worry,sun go hopefully nice weather tommorrow . all work depressing ! : ' (
neutral,@ mileycyrus vote over . since like four day ago think tell all friend vote million time . will win ! love
boredom,@ starstruckfeie no one watch ! ma peep be actually focus their final already !
worry,@ cathrynmarie miss jack box whataburger oooo taco cabanaaaaaa lmao
fun,"only thing leave do be sweep mop , load up van , go out fun tonight ."
happiness,"@ jules23 know ... would too . yes can not wait bb , love ! hear they re not show hr live streaming this year though"
neutral,@ nmarshall23
sadness,have eat sandwhich since guy be meet . no sushi brag about .
neutral,@ skyisland 's just ... do not anything other than work
worry,banana cups coffee ... not healthy breakfast !
relief,"@ mileycyrus aww if could , would ... gby ; )"
happiness,@ hobgoods- yeah go satellite beach today be flattt be good skimming though .
sadness,facebook farm town become slow slow
worry,life just not fair & gt ; feel
worry,this will be bad day ever .... graduation
neutral,"@ bhamboxset see they at show few week ago . hate say be not all impressed fun . as be good , though ."
neutral,new camera ... http : //tinyurl.com / l8pde3 ... rip hot pink polaroid i733
empty,@ notdiyheather although know he would never be okay homebirth . moot point since we be do w/ baby
relief,@ vessel2219 course
sadness,not good news time an incredibly hard decision .
neutral,@ meg_la_mania no mask whoooop
happiness,last day last time visit parent as an unmarried woman ( / ) http : //bit.ly / mo0qn
neutral,"start week wedding , now end week funeral"
neutral,@ bizfizz do start tomorrow ? be go book sam forgot
worry,want he call
sadness,today more sore than surgery day . glad take extra sick day . full recovery expect after week . call lawn service firm today
worry,math class ugh . rather be class act . damn quiz get to act fast
surprise,@ mytvnetwork pansy wtf codeh ? !
sadness,"do dish ' m now train newcastle . leave # nontweetinggirlfriend behind week , which always bite sad"
neutral,@ sianhughe _ kinda hope she die fire cause do not like she but there be no sign body
worry,get impatient turnaround time repair ( break arrival ) new espresso machine # fb
neutral,sneeze frequently
worry,might get kick out school . thing they do not know most we need job live this city .
worry,what about ? ? vote every day ! ! ! ! !
surprise,@ rosiemini get sonic without ?
worry,@ pattyhankins awe do not know cat get skin cancer
worry,wow we be go war korea ? there go chance ever be grandma
surprise,wish u2 beta key work now . do not want wait ' till wednesday play
worry,still be not get vanilla frosty yet .
neutral,ninja sushi lunch but dominick be out sour gummy worm
neutral,bore sleepy listening music : p do project : s
worry,' m finish 3rd year . move onto 4th year monday . 's soooo scary . this time next year will be finish standard grade exam
enthusiasm,@ mileycyrus what about ? ? vote every day ! ! ! ! !
worry,"wonder if she know how shallow , airy & amp ; dumb her tweet make her sound . guess not b / c if she do ... she would probably stop"
neutral,@ arsc mega burguer be lunch yesterday
sadness,"ohhhh , how sad ... didnï¿½t get !"
worry,@ joeymcintyre sister be suppose be meet today birmingham . please reschedule ! ! !
hate,borrow mom 's lenovo laptop trackpad battery life suck ball quarter . seriously miss macbook pro
love,"@ cultofdusty that s what love about , be as shameless as be lol no not yet .. but ai not over yet either lol # frehleyfriday"
neutral,dj hero come soon who be get ? seem like I m a retire guitar hero
empty,@ xjakexchaosx bored
worry,"want go bocum tottal see lostalone , but no passport dam poorness"
worry,really want milkshake . no money .
worry,"eat like ton chocolate today ... week eat healthy , all go one day unlimited eating ! lol"
sadness,want go out tonight but can not get home
worry,wonder if ' m only dat church sumtime not knowng certain sung . seem like erbdy know but u ? quickly feel bad cnt sing along
sadness,@ dayna_aka_rowan he could be talk ( he be probably not though ; )
worry,"@ karlismile indeed , much fail"
neutral,at minibar ... listen politic maybe some tech starup soon ?
enthusiasm,want meet jeff hardy beth britt bad its soo annoying
worry,"there be not anymore exam , but there only day leave . ' ve just now relize this bad thing . good thing . do not know ."
worry,# java not work hmph ! can not upload photo # facebook .
neutral,url previous post ( timer job ) should be http : //bit.ly / a4fdb . would remove space which mess up url . ^es
fun,"visit grandparent manhattan , drop off sister week ! wish have an excuse be tired today .."
sadness,@ grahamcoltonfan hahah too ! ! except when haley get hit by car but yay leyton !
worry,"yeah , be waste time fail"
neutral,@ 3alexx amazing ! ! ! its go to get scratch sooo much though lol . movie tv show already ! !
neutral,tired & amp ; ready bed ! ! really mood salt & amp ; pepper chicken wing & amp ; noodle but no money chinese !
happiness,@ adonkim sound like nice relaxing afternoon . mow lawn walk dog
neutral,work homework ! ! !
neutral,"go back house pick up some dvds bapang pick dito 's up but forgot pick up other dvds dito , go back"
sadness,be go be busy day suck cause want spend time someone early today
neutral,"@ shakamaiden damn dude ... dia , eu tenho curso na drc flash expert ..."
hate,only thing hate about playoff pen hockey how much ticket be ! want go game but there $ ticket
surprise,oh great tampa people anybody area know someone who work jain society tampa bay ? none their phone # 's work .
worry,@ mileycyrus vote ! ! ! do personal myspace ? keep talk fake & lt ; . help thru hrdest time life ! ( :
worry,proper cba out !
neutral,@ cowmage read something happy ?
neutral,alicias tonight ? idkkkk . ughhh
sadness,http : //twitpic.com/674p1 @ jthawthorne this ohio lover tattoo get design off shirt .. haha but lose shirt
neutral,driver ed then dance .
sadness,sadly sit at home when she could be go partyyyyy
worry,@ arlenesuniverse try . he do not want listen . do not know what do anymore . just feel like he do not care anymore
neutral,@ kourtneykardash lucky bitch ! haha we colddd rain up here ma would give anything hot rain right now !
anger,# twitterfail fucking hard right now ... this annoying
hate,wish could kidnap @ candrew from work
love,@ crazy_cindy big hugg
worry,"ahhhh , very sad"
worry,migraine today -- naproxen sodium tablet take be help little but neck now kill . need muscle relaxant
sadness,@ grrachel make sad ..
empty,"yep , one those night again ."
worry,look at failure
surprise,"@ irishgirl right ; however , neglect mention young woman be & quot ; gold digger & quot ; or & quot ; trophy . & quot ; not patriarchy grand ?"
